true_label;assigned_label;result;score
0;0;TN;0.9992508292198181
1;1;TP;0.9991408586502075
1;1;TP;0.9983928799629211
0;0;TN;0.9990692734718323
1;1;TP;0.9989340901374817
1;1;TP;0.9990270137786865
0;0;TN;0.9990501999855042
1;1;TP;0.9971109628677368
1;1;TP;0.98269122838974
0;0;TN;0.9990692734718323
0;0;TN;0.9992272853851318
0;0;TN;0.9992364645004272
0;0;TN;0.9992473125457764
0;0;TN;0.9991029500961304
0;0;TN;0.999257504940033
0;0;TN;0.9988883137702942
0;0;TN;0.9989916682243347
0;0;TN;0.9993048906326294
0;0;TN;0.9992017149925232
1;1;TP;0.9988304972648621
1;1;TP;0.9992682337760925
1;1;TP;0.9835913777351379
0;0;TN;0.9992730021476746
0;0;TN;0.9990739822387695
0;0;TN;0.9992800354957581
0;0;TN;0.9993497729301453
1;1;TP;0.999038577079773
0;0;TN;0.99921715259552
1;1;TP;0.9990185499191284
0;0;TN;0.9988940358161926
0;0;TN;0.9977692365646362
1;1;TP;0.9992951154708862
1;1;TP;0.998577356338501
0;0;TN;0.9987688660621643
0;0;TN;0.9993268251419067
1;1;TP;0.9987181425094604
1;1;TP;0.9991121888160706
1;1;TP;0.9975507855415344
1;1;TP;0.9992750287055969
1;1;TP;0.9975680708885193
0;0;TN;0.9992677569389343
0;0;TN;0.998595654964447
0;0;TN;0.9993250370025635
1;1;TP;0.9988631010055542
1;1;TP;0.998847484588623
0;0;TN;0.9992783665657043
1;1;TP;0.9946295022964478
1;1;TP;0.9990589022636414
1;1;TP;0.9992554783821106
1;1;TP;0.9974628686904907
0;0;TN;0.9990255832672119
0;0;TN;0.9990390539169312
0;0;TN;0.9986635446548462
1;1;TP;0.9987616539001465
1;0;FN;0.9942428469657898
0;0;TN;0.9991357922554016
1;1;TP;0.999337375164032
1;1;TP;0.9990873336791992
0;0;TN;0.9987026453018188
1;1;TP;0.9747040271759033
1;1;TP;0.9991613626480103
0;0;TN;0.9991961121559143
0;0;TN;0.9989680051803589
1;1;TP;0.9991875290870667
0;0;TN;0.9975282549858093
1;1;TP;0.994926929473877
1;1;TP;0.9991744160652161
1;1;TP;0.9990285634994507
0;0;TN;0.999107301235199
1;1;TP;0.9990780353546143
1;1;TP;0.9991687536239624
0;0;TN;0.9992308616638184
0;0;TN;0.9991760849952698
0;0;TN;0.9993333220481873
1;1;TP;0.9991405010223389
0;0;TN;0.9992685914039612
1;1;TP;0.9983548521995544
0;0;TN;0.9989776611328125
0;0;TN;0.9992530941963196
0;0;TN;0.9992032647132874
0;0;TN;0.999024510383606
0;0;TN;0.9988459348678589
0;0;TN;0.9992932081222534
0;0;TN;0.9985960125923157
0;0;TN;0.9992645382881165
0;0;TN;0.9992652535438538
0;0;TN;0.9989933371543884
0;0;TN;0.9988722205162048
0;0;TN;0.999258816242218
0;0;TN;0.9992619156837463
0;0;TN;0.9991344809532166
0;0;TN;0.9989897608757019
0;0;TN;0.9991738200187683
0;0;TN;0.9988425970077515
0;0;TN;0.9992175102233887
0;0;TN;0.9986522793769836
0;0;TN;0.9985095858573914
0;0;TN;0.9985847473144531
0;0;TN;0.9991562366485596
0;0;TN;0.9988529682159424
0;0;TN;0.9988693594932556
0;0;TN;0.9990532994270325
0;0;TN;0.9991353154182434
0;0;TN;0.9985578656196594
0;0;TN;0.9990043044090271
0;0;TN;0.9992040991783142
0;0;TN;0.9991657733917236
0;0;TN;0.9992679953575134
0;0;TN;0.9989941716194153
0;0;TN;0.9990273714065552
0;0;TN;0.9992592930793762
0;0;TN;0.9992384910583496
0;0;TN;0.9992944002151489
0;0;TN;0.9991889595985413
0;0;TN;0.9989563226699829
0;0;TN;0.9992576241493225
0;0;TN;0.9993108510971069
0;0;TN;0.9990837574005127
0;0;TN;0.9992477893829346
0;0;TN;0.9992156028747559
0;0;TN;0.9992425441741943
0;0;TN;0.9990755319595337
0;0;TN;0.999022364616394
0;0;TN;0.9988734126091003
0;0;TN;0.9989696741104126
0;0;TN;0.9983432292938232
0;0;TN;0.9989548921585083
0;0;TN;0.9988364577293396
0;0;TN;0.9974963068962097
0;0;TN;0.9985400438308716
0;0;TN;0.9987258315086365
0;0;TN;0.9983940720558167
1;1;TP;0.9991621971130371
1;1;TP;0.9989235997200012
1;1;TP;0.9991859793663025
1;1;TP;0.9985491633415222
1;1;TP;0.9988409876823425
1;1;TP;0.9993336796760559
1;1;TP;0.9985985159873962
1;1;TP;0.8191770315170288
1;1;TP;0.9911290407180786
1;1;TP;0.9989377856254578
1;1;TP;0.9992420673370361
1;1;TP;0.9991570711135864
1;1;TP;0.9992092847824097
1;1;TP;0.9941231608390808
1;1;TP;0.9957608580589294
1;1;TP;0.998744010925293
1;1;TP;0.9992271661758423
1;1;TP;0.999101996421814
1;1;TP;0.999047577381134
1;1;TP;0.9978378415107727
1;1;TP;0.9976711869239807
1;1;TP;0.9963257908821106
1;1;TP;0.9983225464820862
1;1;TP;0.9989257454872131
1;1;TP;0.9988321661949158
1;1;TP;0.9990575909614563
1;1;TP;0.9992234706878662
1;1;TP;0.9989237189292908
1;1;TP;0.8395293951034546
1;1;TP;0.9757993221282959
1;0;FN;0.9421151876449585
1;1;TP;0.9903236627578735
1;0;FN;0.9972960352897644
1;0;FN;0.996634304523468
1;0;FN;0.9117108583450317
1;0;FN;0.9966564178466797
1;0;FN;0.9637864232063293
1;0;FN;0.9981492757797241
1;1;TP;0.9650048017501831
1;1;TP;0.9178984761238098
1;0;FN;0.9399864077568054
1;0;FN;0.9891958236694336
1;1;TP;0.9768946170806885
1;0;FN;0.9601823091506958
1;1;TP;0.965856671333313
1;1;TP;0.9164347052574158
1;0;FN;0.9388083815574646
1;0;FN;0.8963884115219116
1;1;TP;0.9920057654380798
1;1;TP;0.9847503900527954
1;1;TP;0.998167872428894
1;1;TP;0.9032701849937439
1;0;FN;0.9536023139953613
1;0;FN;0.9959105253219604
1;1;TP;0.9987154006958008
1;1;TP;0.9979129433631897
1;1;TP;0.999161958694458
